change_event_id,commit_sha,commit_date_utc,change_source_type,pr_number,platform,file_path,vendor_canonical_id,vendor_display_name,telemetry_feature_category,sub_category,old_status,new_status,old_status_score,new_status_score,sub_category_weight,weighted_score_delta,status_quality_delta,direction,change_kind,contributor_login,contributor_class,public_url
2a55cf694af4df9b1388d8f71c0601de0cb3a139da89ae54d23e4ec37bd17ee0,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,crowdstrike,CrowdStrike,BIT JOBS Activity,BIT JOBS Activity,,Yes,0.0,1.0,1.0,0.0,3,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
384b46cb3993a5884065b859a222bd46e2b69183296c882cf2ebe1dcd12f9e50,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,elastic,Elastic,BIT JOBS Activity,BIT JOBS Activity,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
89960cd1b95478257b8fe6cea004cb8621651ac835207c5a4ec0212332e3c854,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,limacharlie,LimaCharlie,BIT JOBS Activity,BIT JOBS Activity,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
afd16b7635a1c6c5ffac8fb203a6094c9606bcd12e3374633864a95bab0dfe36,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,microsoft_defender,Microsoft Defender for Endpoint,BIT JOBS Activity,BIT JOBS Activity,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
250ad48dce84eed446cd2c49302095bd6426f4d2daba349cb1debb3b9eb61935,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,sentinelone,SentinelOne,BIT JOBS Activity,BIT JOBS Activity,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
d4264bd6f3b3ef91a8ce99f6d93cd6fc7ef9b103f26b19b525f42fd825eade86,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,sysmon,Sysmon,BIT JOBS Activity,BIT JOBS Activity,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
86e3380a7e9f0b9fdd990e6309b687c520ba12e59ec6966b6f905fd35779c73f,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,watchguard,WatchGuard,BIT JOBS Activity,BIT JOBS Activity,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
fa54b814de31b6df7608cfba20e3a7d90bba5cbabe42009d6d2bc9c5803f25f7,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,crowdstrike,CrowdStrike,Device Operations,USB Device Mount,,Yes,0.0,1.0,1.0,0.0,3,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
808ed8072616cea29a34c16696c6352e7cd718958b8d914773684b84fec68c1f,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,elastic,Elastic,Device Operations,USB Device Mount,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
829acba97308c642e67eb19f1f868cfbe73805f7fe41af276358f37a0fab6235,ca3a2e679eacda11bca56997f55ec92fc46dc402,2023-04-19T06:18:54Z,direct_commit,,windows,EDR_telem.json,limacharlie,LimaCharlie,Device Operations,USB Device Mount,,No,0.0,0.0,1.0,0.0,0,neutral,new_category_baseline,,unknown,https://github.com/tsale/EDR-Telemetry/commit/ca3a2e679eacda11bca56997f55ec92fc46dc402
